INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
SMALL SCALE INT CHARTS,,,,,,,,,,,,
,,42,DE BREVES A ALMEIRIM ,,,,,1987,356750,,,
,,110,BAI_A DO OIAPOQUE ,,,,,1979,80000,,,
,,111,DA BAI_A DO OIAPOQUE A_S ILHAS TAPAROBO_ ,,,,,1998,30000,,,
,,112,DAS ILHAS TAPARABO_ A CLEVELA_NDIA DO NORTE ,,,,,1999,30000,,,
,,201,BARRA NORTE DO RIO AMAZONAS ,,,,,2006,79989,,,
,,202,DA ILHA DO BAILIQUE A_ PONTA DO CAPINAL ,,,,,1989,79992,,,
,,203,DA PONTA DO CAPINAL A_S ILHAS PEDREIRA ,,,,,1982,79996,,,
,,204,DAS ILHAS PEDREIRA A_ ILHA DE SANTANA ,,,,,1979,80000,,,
,,204 plano 1,BARRA DO RIO PEDREIRA ,,,,,,25000,,,
,,206,CANAL DE SANTANA ,,,,,2013,10000,,,
,,231,DA ILHA DO MACHADINHO AO CABO MAGUARI (PROX. DA BARRA SUL DO RIO AMAZONAS) ,,,,,1975,80000,,,
,,232,BARRA SUL DO RIO AMAZONAS ,,,,,1975,80000,,,
,,233,DE CHAVES A_ PTA. DA ANUNCIAC_A_O (BRAC_O SUL DO RIO AMAZONAS) ,,,,,1975,80000,,,
,,241,DA BAI_A DO VIEIRA GRANDE A CHAVES (BRAC_O SUL DO RIO AMAZONAS) ,,,,,1977,80000,,,
,,242,DA ILHA DOS PORCOS A_ BAI_A DO VIEIRA GRANDE (BRAC_O SUL DO RIO AMAZONAS) ,,,,,2012,80000,,,
,,243,DA ILHA DA ITUQUARA A_ ILHA DOS PORCOS ,,,,,1977,79994,,,
,,244,DE GURUPA_ A_ ILHA ITUQUARA ,,,,,1977,79984,,,
,,302,DE SALINO_POLIS AO CANAL DO ESPADARTE ,,,,,2006,100000,,,
,,303,DO CABO MAGUARI A MOSQUEIRO ,,,,,2013,100000,,,
,,304,DE MOSQUEIRO A ABAETETUBA ,,,,,1998,99980,,,
,,304 plano 1,ABAETETUBA (FUNDEADOURO) ,,,,,,30000,,,
,,305,DA ILHA DO CAPIM A_ ILHA DA CONCEIC_A_O ,,,,,2002,99970,,,
,,305 plano 1,PASSAGEM DO MANDII_ ,,,,,,50000,,,
,,306,DA ILHA DA CONCEIC_A_O AOS ESTREITOS ,,,,,1993,99960,,,
,,316,DE MOSQUEIRO A BELE_M ,,,,,2003,49990,,,
,,320,PORTO DE BELE_M ,,,,,2014,15000,,,
,,321,PORTO DE VILA DO CONDE ,,,,,2013,20000,,,
,,410,PROXIMIDADES DA BAI_A DE SA_O MARCOS ,,,,,2002,135000,,,
,,410 plano 1,IGARAPE_ COJUPE (ACESSO SUL) ,,,,,,50000,,,
,,411,BAI_A DE SA_O MARCOS ,,,,,2001,50000,,,
,,412,BAI_A DE SA_O MARCOS Р PROXIMIDADES DO TERMINAL DA PONTA DA MADEIRA E ITAQUI ,,,,,2001,30000,,,
,,413,TERMINAL DA PONTA DA MADEIRA E PORTO DE ITAQUI ,,,,,2000,15000,,,
,,414,BAI_A DE SA_O MARCOS Р DE ITAQUI AO TERMINAL DA ALUMAR ,,,,,2000,14999,,,
,,414 plano 1,ESTREITO DOS COQUEIROS Р CANAL DE ACESSO AO TERMINAL DA ALUMAR ,,,,,,7500,,,
4194,,21100,,,,,,,,,,
4195,,21200,,,,,,,,,,
4196,,21300,,,,,,,,,,
4197,,21400,,,,,,,,,,
2108,,21500,,,,,,,,,,
2109,,21600,,,,,,,,,,
