INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
RIO AMAZONAS ,,,,,,,,,,,,
,,4101 A,DE MACAPA_ A_ I. MANGABAL,,,,,2012,100000,,,
,,4101 B,DA I. MANGABAL A_ I. DO COMANDAI_ ,,,,,2012,100000,,,
,,4102 A,DE GURUPA_ A ALMEIRIM,,,,,2000,100000,,,
,,4102 B,DE ALMERIM A_ PRAINHA,,,,,2000,100000,,,
,,4103 A,DE PRAINHA A_ COSTA DO ITUQUI,,,,,2007,100000,,,
,,4103 B,DA COSTA DO ITUQUI A_ I. DO MEIO,,,,,2007,100000,,,
,,4104 A,DA I. DO MEIO A_ I. DE SANTA RITA,,,,,2008,100000,,,
,,4104 B,DA I. DE SANTA RITA A PARINTINS,,,,,2008,100000,,,
,,4105 A,DE PARINTINS A_ COSTA DO GIBA,,,,,2006,100000,,,
,,4105 B,DA COSTA DO GIBA A ITACOATIARA ,,,,,2006,100000,,,
,,4106 A,DE ITACOATIARA A_ I. DA GRANDE EVA ,,,,,2011,100000,,,
,,4106 B,DA I. DA GRANDE EVA A MANAUS ,,,,,2011,100000,,,
,,,,,,,,,,,,
RIO NEGRO ,,,,,,,,,,,,
,,4110,PORTO DE MANAUS ,,,,,1981,30000,,,
,,4110 plano 1,PORTO DE MANAUS ,,,,,,7500,,,
,,,,,,,,,,,,
RIO SOLIMO_ES ,,,,,,,,,,,,
,,4150,ATLAS DA HIDROVIA DO RIO SOLIMO_ES ,,,,,2001,100000,,,
,,4150 HS - A1,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A2,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A3,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A4,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A5,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A6,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A7,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A8,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A9,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A10,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A11,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A12,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A13,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - A14,SE_RIE A Р TRECHO MANAUS Р COARI ,,,,,,,,,
,,4150 HS - B1,SE_RIE B Р TRECHO COARI Р TEFE_ ,,,,,,,,,
,,4150 HS - B2,SE_RIE B Р TRECHO COARI Р TEFE_ ,,,,,,,,,
,,4150 HS - B3,SE_RIE B Р TRECHO COARI Р TEFE_ ,,,,,,,,,
,,4150 HS - B4,SE_RIE B Р TRECHO COARI Р TEFE_ ,,,,,,,,,
