INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DE MACAU A MACEIO_ ,,,,,,,,,,,,
,,802,PORTO DE NATAL ,,,,,2008,8500,,,
,,803,CANAL DE SA_O ROQUE ,,,,,1972,50000,,,
,,806,PROXIMIDADES DO PORTO DE CABEDELO ,,,,,1962,50000,,,
,,810,PROXIMIDADES DO PORTO DE NATAL ,,,,,2009,50000,,,
,,830,PORTO DE CABEDELO,,,,,2004,15000,,,
,,901,PORTO DE MACEIO_,,,,,1982,7500,,,
,,902,PORTO DO RECIFE ,,,,,1989,15000,,,
,,903,PORTO DE ITAPESSOCA,,,,,1962,15000,,,
,,905,BAI_A DE TAMANDARE_,,,,,1997,10000,,,
,,906,PORTO DE SUAPE,,,,,2003,15000,,,
,,910,PROXIMIDADES DE ITAPESSOCA ,,,,,1963,55000,,,
,,920,PROXIMIDADES DO PORTO DE MACEIO_ ,,,,,2005,80000,,,
,,920 plano 1,FUNDEADOURO DE SA_O MIGUEL ,,,,,,20000,,,
,,930,PROXIMIDADES DO PORTO DO RECIFE ,,,,,2004,100000,,,
,,1000,DE MACEIO_ AO RIO ITARIRI ,,,,,1950,311492,,,
2111,,21800,,,,,,,,,,
2112,,21900,,,,,,,,,,
2113,,22000,,,,,,,,,,
2114,,22100,,,,,,,,,,
2115,,22200,,,,,,,,,,
2116,,22300,,,,,,,,,,
