INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
BAI_A DE TODOS OS SANTOS ,,,,,,,,,,,,
,,1101,PROXIMIDADES DO PORTO DE SALVADOR ,,,,,1995,29976,,,
,,1102,PORTO DE SALVADOR,,,,,2007,12000,,,
,,1103,BAI_A DO ARATU E ADJACE_NCIAS ,,,,,2012,15000,,,
,,1104,BAI_A DE TODOS OS SANTOS (PARTE NORDESTE) ,,,,,2012,30000,,,
,,1105,PORTO DE MADRE DE DEUS ,,,,,2012,8000,,,
,,1106,BAI_A DE TODOS OS SANTOS (PARTE NORTE) ,,,,,1958,30010,,,
,,1107,BAI_A DE TODOS OS SANTOS (PARTE OESTE) ,,,,,1978,29996,,,
,,1108,BAI_A DE TODOS OS SANTOS (PORTO DE SA_O ROQUE E PROXIMIDADES) ,,,,,1978,15000,,,
,,1108 plano 1,PORTO DE SA_O ROQUE ,,,,,,8000,,,
,,1110,BAI_A DE TODOS OS SANTOS ,,,,,2012,65000,,,
