INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DA FOZ DO RIO DOCE A_ BAI_A DE GUANABARA ,,,,,,,,,,,,
,,1401,PORTOS DE VITO_RIA E TUBARA_O ,,,,,2007,15000,,,
,,1401 plano 1,PORTO DE VITO_RIA - CANAL DE ACESSO ,,,,,,7500,,,
,,1402,DO PONTAL DA REGE_NCIA A_ PONTA DO UBU ,,,,,1961,135000,,,
,,1403,DA PONTA DO UBU AO CABO DE SA_O TOME_ ,,,,,2008,150000,,,
,,1404,PROXIMIDADES DA PONTA DO UBU ,,,,,2006,50000,,,
,,1404 plano 1,TERMINAL DA PTA. DO UBU,,,,,,15000,,,
,,1407,CANAL DE SA_O TOME_ ,,,,,1993,40000,,,
,,1410,PROXIMIDADES DOS PORTOS DE VITO_RIA E TUBARA_O ,,,,,2008,50000,,,
,,1420,PROXIMIDADES DA BARRA DO RIACHO ,,,,,2005,50000,,,
,,1420 plano 1,TERMINAL DA BARRA DO RIACHO ,,,,,,15000,,,
,,1501,BAI_A DE GUANABARA,,,,,2001,50000,,,
,,1503,ENSEADAS DO CABO FRIO,,,,,1991,20000,,,
,,1504,ENSEADAS DE BU_ZIOS ,,,,,2003,20000,,,
,,1505,DO CABO BU_ZIOS AO CABO FRIO ,,,,,1995,40000,,,
,,1506,PROXIMIDADES DA BAI_A DE GUANABARA ,,,,,2003,75000,,,
,,1507,ENSEADA DE MACAE_ E PROXIMIDADES ,,,,,1975,25000,,,
,,1507 plano A,ENSEADA DE MACAE_ (PLANO “A”) ,,,,,,5000,,,
,,1507 plano B,PORTO DE IMBETIBA (PLANO “B”) ,,,,,,8000,,,
,,1508,DO CABO FRIO A PONTA NEGRA - MILHA MEDIDA ,,,,,2002,75000,,,
,,1550,BACIA DE CAMPOS,,,,,2008,300000,,,
2121,,22800,,,,,,,,,,
2122,,22900,,,,,,,,,,
2123,,23000,,,,,,,,,,
