INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
DA BAI_A DE GUANABARA A_ ILHA DE SA_O SEBASTIA_O ,,,,,,,,,,,,
,,1607,BAI_AS DA ILHA GRANDE E DE SEPETIBA ,,,,,2004,80000,,,
,,1620,DA BARRA DO RIO DE JANEIRO A_ ILHA GRANDE ,,,,,1986,120015,,,
,,1621,BAI_A DA ILHA GRANDE Р PARTE LESTE (TERMINAL DA ILHA GUAI_BA) ,,,,,1990,40090,,,
,,1621 plano 1,"ENSEADAS DA ESTRELA, ABRAA_O E PALMAS ",,,,,,20000,,,
,,1621 plano 2,TERMINAL MARI_TIMO DA ILHA GUAI_BA ,,,,,,15000,,,
,,1622,BAI_A DE SEPETIBA ,,,,,2003,40122,,,
,,1623,PORTO DE ITAGUAI_ ,,,,,2006,20000,,,
,,1631,BAI_A DA ILHA GRANDE (PARTE CENTRAL) ,,,,,2004,40067,,,
,,1631 plano 1,ENSEADAS DE SI_TIO FORTE E ARAC_ATIBA ,,,,,,20000,,,
,,1632,BAI_A DA ILHA GRANDE (PARTE CENTRO- NORTE) ,,,,,2004,40109,,,
,,1633,BAI_A DA ILHA GRANDE (PARTE OESTE) ,,,,,1981,40075,,,
,,1633 plano 1,BAI_A DE PARATI E ADJACE_NCIAS ,,,,,,20000,,,
,,1634,DA PONTA DE JUATINGA A_ ILHA DAS COUVES ,,,,,1981,40000,,,
,,1635,DA ILHA DAS COUVES A_ ILHA DO MAR VIRADO ,,,,,2003,39983,,,
,,1635 plano 1,ENSEADA DE UBATUBA ,,,,,,20000,,,
,,1636,PORTO DE ANGRA DOS REIS E PROXIMIDADES ,,,,,2004,20000,,,
,,1637,BAI_A DA RIBEIRA ,,,,,1980,25000,,,
,,1641,DA ENSEADA DO MAR VIRADO AO PORTO DE SA_O SEBASTIA_O ,,,,,1985,39914,,,
,,1642,DE SA_O SEBASTIA_O A_ ILHA DOS GATOS ,,,,,1987,39861,,,
,,1643,CANAL DE SA_O SEBASTIA_O (PARTE NORTE) ,,,,,2008,15000,,,
,,1644,CANAL DE SA_O SEBASTIA_O (PARTE SUL) ,,,,,2008,15000,,,
,,1645,CANAL DE SA_O SEBASTIA_O ,,,,,1995,50000,,,
