INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
CARTAS DO ATLA_NTICO SUL E ANTA_RTICA ,,,,,,,,,,,,
,,2,OCEANO ATLA_NTICO SUL - DO RIO DE JANEIRO A_ PENI_NSULA ANTA_RTICA ,,,,,1985,7500000,,,
216,,10,,,,,,,,,,
202,,20,,,,,,,,,,
201,,30,,,,,,,,,,
,,3931,APPROACHES TO WALVIS BAY (NAMI_BIA) ,,,,,1997,50000,,,
,,3931 plano 1,WALVIS BAY HARBOUR ,,,,,,12500,,,
20,,19001,,,,,,,,,,
22,,19002,,,,,,,,,,
9150,,25110,,,,,,,,,,
,,25115,ANTA_RTICA - ILHAS SHETLAND DO SUL Р ILHA ELEFANTE ,,,,,2005,100000,,,
9127,,25119,,,,,,,,,,
9126,,25120,,,,,,,,,,
,,25121,ANTA_RTICA - ILHAS SHETLAND DO SUL - BAI_A DO ALMIRANTADO (ILHA REI GEORGE) ,,,,,2009,40000,,,
,,25121 plano 1,ENSEADA MARTEL (PLANO A) ,,,,,,20000,,,
,,25121 plano 2,ESTAC_A_O COMANDANTE FERRAZ FUNDEADOURO VISCA (PLANO B) ,,,,,,5000,,,
,,25122,ANTA_RTICA - ILHAS SHETLAND DO SUL - BAI_A MAXWELL (ILHA REI GEORGE) ,,,,,1994,40000,,,
,,252122 plano 1,ENSEADA ARDLEY E BAI_A EDGELL ,,,,,,20000,,,
