INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
RIO PARAGUAI ,,,,,,,,,,,,
,,3240,DO PORTO BOTA_NICO A ITA ENRAMADA ,,,,,1977,15000,,,
,,3240 plano 1,BAI_A DE ASSUNCION ,,,,,,5000,,,
,,3300,DA ISLA BANCO MORALES A_ BAHI_A DE ASUNCIO_N ,,,,,2010,25000,,,
,,3301,DO PUERTO BOTANICO A_ PUENTE REMANSO CASTILLO ,,,,,2010,25000,,,
,,3302,DO RIACHO SAN FRANCISCO (BOCA INFERIOR) A_ VILLA HAYES ,,,,,2010,25000,,,
,,3303,DE PIQUETE-CUE_ A_ VUELTA ARECUTACUA_ ,,,,,2010,25000,,,
,,3304,DA ISLA ARECUTACUA_ A ESTANCIA OLIVARES ,,,,,2010,25000,,,
,,3305,DA ESTANCIA OLIVARES AO PASO MERCEDES ,,,,,2010,25000,,,
,,3306,DO PASO MERCEDES AO PASO PALMA SOLA ,,,,,2010,25000,,,
,,3307,DA ISLA POYBI_ A ISLA URUGUAYTA_ ,,,,,2010,25000,,,
,,3308,DO PASO VILLA REY AO PASO SAN JUAN ,,,,,2010,25000,,,
,,3309,DA ISLA PITO-CAN_Y A ISLA OCULTO ,,,,,2009,25000,,,
,,3310,DA ISLA ESPERANZA A ISLA YSYPO-I ,,,,,2009,25000,,,
,,3311,DO PASO CABALLERO A ISLA YSYPO-I ,,,,,2009,25000,,,
,,3312,DA ISLA COMPARADA A PUERTO BARRANQUERITA ,,,,,2009,25000,,,
,,3313,DA ISLA COMPARADA A VUELTA GRANDE ,,,,,2009,25000,,,
,,3314,DA VUELTA GRANDE AO PASO CURUZU JUANITA ,,,,,2009,25000,,,
,,3315,DO PASO CURUZU JUANITA AO PASO SAN ANTONIO ,,,,,2009,25000,,,
,,3316,DA ISLA PEDERNAL AO PASO CAA-PUCU-MI ,,,,,2013,25000,,,
,,3317,DA ISLA DEL LOCO AO PASO SIETE PUNTAS ,,,,,2013,25000,,,
,,3318,DO PASO SIETE PUNTAS AO PASO MILAGRO ,,,,,2013,25000,,,
