INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
CROQUIS ,,,,,,,,,,,,
,,,,,,,,,,,,
RIO PARAGUAI ,,,,,,,,,,,,
,,,CANAL DO TAMENGO Р DE CORUMBA_ A_ LAGOA DE CA_CERES ,,,,,1989,10000,,,
,,,,,,,,,,,,
RIO CUIABA_ ,,,,,,,,,,,,
,,,DA FOZ A CUIABA_ ,,,,,1999,10000,,,
,,,,,,,,,,,,
RIO PARAGUAI ,,,,,,,,,,,,
,,3365,DO PORTO TARUMA_ A CORUMBA_ ,,,,,2008,25000,,,
,,3366,DE CORUMBA_ AO ESTIRA_O DA AGUA BRANCA ,,,,,2010,10000,,,
,,3367,DA VOLTA DO GATO AO PASSO DO PESCADOR ,,,,,2010,10000,,,
,,3368,DO PASSO DO PESCADOR A_ ILHA PASSARINHO PRETO ,,,,,2010,10000,,,
,,3369,DA CANCHA DO TUIUIU_ A_ CANCHA DO PIUVAL ,,,,,2010,10000,,,
,,3370,DA VOLTA MORCEGUEIRO AO PASSO DA FAIA ,,,,,2010,10000,,,
,,3371,DO PASSO DA FAIA A_ VOLTA GRANDE ,,,,,2010,10000,,,
,,3372,DA VOLTA GRANDE A_ ILHA ESTREITA OU PIMENTEIRA ,,,,,2010,10000,,,
,,3373,DA VOLTA DA SARACURA AO ESTIRA_O DOMINGOS RAMOS ,,,,,2010,10000,,,
,,3374,DO PASSO DOMINGOS RAMOS INFERIOR AO PASSO DOMINGOS ,,,,,2010,10000,,,
,,3375,DA VOLTA DO CARANDAZINHO A_ VOLTA DO CURURU ,,,,,2010,10000,,,
,,3376,DA BOCA DO CURURU A_ ILHA DO CASTELO ,,,,,2010,10000,,,
,,3377,DA BAIA DO CASTELO A_ VOLTA FANDANGO ,,,,,2010,10000,,,
,,3378,DO PASSO DO TUCANO A_ ORC_ADA LARANJEIRA ,,,,,2010,10000,,,
,,3379,DA ORC_ADA LARANJEIRA A_ ILHA LARANJEIRA ,,,,,2010,10000,,,
,,3380,DA VOLTA DA BAIA VERMELHA A_ ILHA VERDE ,,,,,2010,10000,,,
,,3381,DA ILHA VERDE A_ ILHA PARAGUAI MIRIM ,,,,,2010,10000,,,
,,3382,DO RIO PARAGUAI MIRIM A_ ILHA BAGUARI ,,,,,2010,10000,,,
,,3383,DO PASSO BAGUARI A_ VOLTA DA SUCURI ,,,,,2010,10000,,,
,,3384,DA VOLTA DA SUCURI AO PASSO COQUEIRO ,,,,,2010,10000,,,
,,3385,DA ILHA DO COQUEIRO A_ ILHA SANTA FE_ ,,,,,2010,10000,,,
,,3386,DA ILHA SANTA FE_ AO CO_RREGO DO MATA CACHORRO ,,,,,2010,10000,,,
,,3387,DA CANCHA DO RUFINO AO PASSO RUFINO ,,,,,2010,10000,,,
,,3388,DA ILHA DA FIGUEIRA AO RIO BOCA DO JOA_O ,,,,,2010,10000,,,
,,3389,JUSANTE DA ILHA PIUVA AO PASSO PIUVA SUPERIOR ,,,,,2010,10000,,,
,,3390,DO MORRO DOURADOS A_ BOCA DO AMOLAR ,,,,,2010,10000,,,
,,3391,DO AMOLAR A_ BOCA SA_O GONC_ALO ,,,,,2010,10000,,,
,,3392,DA BOCA SA_O GONC_ALO AO ESTIRA_O ZE_ DIAS ,,,,,2010,10000,,,
,,3393,DO ESTIRA_O ZE_ DIAS AO CORIXO DO MOQUE_M ,,,,,2010,10000,,,
,,3394,DA FOZ DO RIO CUIABA_ AO REFU_GIO DAS TRE_S BOCAS ,,,,,2010,10000,,,
,,3395,DO CORIXO DO MOQUE_M A_ BAI_A DO ACURIZAL ,,,,,2010,10000,,,
,,3396,DA ILHA DO ACURIZAL A_ BOCA DA FIGUEIRA ,,,,,2010,10000,,,
,,3397,DO ESTIRA_O DO CARANDA_ GRANDE A_ VOLTA DO ARGOLA_O ,,,,,2010,10000,,,
,,3398,DA VOLTA DO ARGOLA_O A_ VOLTA CANAFRISTA ,,,,,2010,10000,,,
,,3399,LAGOA GAI_VA - DA BOCA DO CARANDA_ A_ BOCA BRAVA ,,,,,2011,10000,,,
,,3400,LAGOA GAI_VA - VOLTA DO CACHORRO E VOLTA DO GATAS ,,,,,2011,10000,,,
,,3401,DE BELA VISTA DO NORTE A_ ILHA BOCA DA ANTA GRANDE ,,,,,2011,10000,,,
