INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
HIDROVIA TIETE_-PARANA_ ,,,,,,,,,,,,
,,2800,ATLAS DA HIDROVIA TIETE_-PARANA_ ,,,,,2012,,,,
,,SJD 1,Rio Sa_o Jose_ dos Dourados ,,,,,,40000,,,
,,SJD 2,Rio Sa_o Jose_ dos Dourados ,,,,,,20000,,,
,,SJD 3,Rio Sa_o Jose_ dos Dourados ,,,,,,20000,,,
,,SJD 4,Rio Sa_o Jose_ dos Dourados ,,,,,,20000,,,
,,SJD 5,Rio Sa_o Jose_ dos Dourados ,,,,,,20000,,,
,,SJD 6,Rio Sa_o Jose_ dos Dourados ,,,,,,20000,,,
,,JU 1,Reservato_rio de Jupia_ ,,,,,,40000,,,
,,JU 2,Reservato_rio de Jupia_ ,,,,,,40000,,,
,,JU 3,Reservato_rio de Jupia_ ,,,,,,20000,,,
,,JU 4,Reservato_rio de Jupia_ ,,,,,,20000,,,
,,JU 5,Reservato_rio de Jupia_ ,,,,,,20000,,,
,,JU 6,Reservato_rio de Jupia_ ,,,,,,20000,,,
,,JU 7,Reservato_rio de Jupia_ ,,,,,,10000,,,
,,JU - TI,Reservato_rio de Jupia_ ,,,,,,20000,,,
,,TI 1,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 2,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 3,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 4,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 5,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 6,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 7,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 8,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 9,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 10,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 11,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI 12,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,TI - NA,Reservato_rio de Tre_s Irma_os ,,,,,,,,,
,,PB 1,Canal Pereira Barreto ,,,,,,,,,
,,PB 2,Canal Pereira Barreto ,,,,,,,,,
,,PB 3,Canal Pereira Barreto ,,,,,,,,,
,,PB 4,Canal Pereira Barreto ,,,,,,,,,
