INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. & Date NE)
,,1,BRASIL – COSTA E ILHAS AO LARGO,,,,,2004,5600000,,,
,,11,PROXIMIDADES DO ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO,,,,,1999,20000,,,
,,11 plano 1,ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO,,,,,,1000,,,
,,21,ILHA DA TRINDADE,,,,,1971,15000,,,
,,21 plano 1,FUNDEADOURO DA ENSEADA DOS PORTUGUESES ,,,,,,5000,,,
,,21 plano 2,ILHAS DA TRINDADE E MARTIN VAZ ,,,,,,200000,,,
,,21 plano 3,ILHAS MARTIN VAZ,,,,,,50000,,,
,,51,ATOL DAS ROCAS E PROXIMIDADES ,,,,,1999,100000,,,
,,51 plano 1,ATOL DAS ROCAS ,,,,,,20000,,,
,,52,PROXIMIDADES DO ARQUIPÉLAGO DE FERNANDO DE NORONHA,,,,,1985,100000,,,
,,52 plano 1,ARQUIPÉLAGO DE FERNANDO DE NORONHA,,,,,,30000,,,
4071,,21010,,,,,,,,,,
2003,,21020,,,,,,,,,,
2004,,21030,,,,,,,,,,
2005,,21040,,,,,,,,,,
2006,,21050,,,,,,,,,,
2007,,21060,,,,,,,,,,
2008,,21070,,,,,,,,,,
2009,,21080,,,,,,,,,,
