INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DA BAI_A DE GUANABARA A_ ILHA DE SANTA CATARINA ,,,,,,,,,,,,
,,1701,PORTO DE SANTOS ,,,,,2003,25000,,,
,,1701 plano 1,CANAL DE ACESSO ,,,,,,15000,,,
,,1702,MAR PEQUENO (DA BARRA DE ICAPARA A CANANE_IA) ,,,,,1985,27500,,,
,,1703,PORTO DE CANANE_IA,,,,,2004,27448,,,
,,1711,PROXIMIDADES DO PORTO DE SANTOS ,,,,,2005,80000,,,
2123,,23000,,,,,,,,,,
2124,,23100,,,,,,,,,,
2125,,23200,,,,,,,,,,
2126,,23300,,,,,,,,,,
