INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DA ILHA DE BOM ABRIGO A_ ILHA DO ARVOREDO ,,,,,,,,,,,,
,,1801,PORTO DE ITAJAI_ ,,,,,2003,15000,,,
,,1803,BAI_A DE GUARATUBA ,,,,,2005,25000,,,
,,1804,PORTO DE SA_O FRANCISCO DO SUL ,,,,,2006,27000,,,
,,1804 plano 1,PORTO DE SA_O FRANCISCO DO SUL ,,,,,,20000,,,
,,1805ER,BAI_A DA BABITONGA (SA_O FRANCISCO DO SUL) ,,,,,1997,27000,,,
,,1820,PROXIMIDADES DA BARRA DE PARANAGUA_ ,,,,,2005,100000,,,
,,1821,BARRA DE PARANAGUA_,,,,,2004,25000,,,
,,1822,PORTOS DE PARANAGUA_ E ANTONINA ,,,,,2004,25000,,,
,,1830,PROXIMIDADES DO PORTO DE SA_O FRANCISCO DO SUL ,,,,,1973,89459,,,
