INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DA ILHA DE SANTA CATARINA A TORRES ,,,,,,,,,,,,
,,1901,PORTO DE LAGUNA ,,,,,1992,10000,,,
,,1902,PROXIMIDADES DA ILHA DE S. CATARINA ,,,,,2003,100928,,,
,,1903,CANAL NORTE DE SANTA CATARINA ,,,,,1997,50075,,,
,,1904,CANAL SUL DE SANTA CATARINA ,,,,,1997,49918,,,
,,1905,PORTO DE FLORIANO_POLIS ,,,,,1997,12600,,,
,,1906,PLANOS DA ILHA DE S. CATARINA E ADJACE_NCIAS ,,,,,1956,,,,
,,1906 plano 1,BAI_A DAS TIJUCAS ,,,,,,30000,,,
,,1906 plano 2,ENSEADA DA ARMAC_A_O ,,,,,,30000,,,
,,1906 plano 3,CANAL DOS NAUFRAGADOS ,,,,,,30000,,,
,,1907,DA ILHA DE CORAL A_ ILHA DAS ARARAS ,,,,,1957,49740,,,
,,1908,PORTO DE IMBITUBA ,,,,,1992,7500,,,
,,1909,DA ILHA DAS ARARAS AO CABO DE SANTA MARTA GRANDE ,,,,,1957,49560,,,
,,1910,DA ILHA DE CORAL AO CABO DE SANTA MARTA GRANDE ,,,,,2004,100211,,,
,,1911,DO CABO DE SANTA MARTA GRANDE A ARARANGUA_ ,,,,,2004,99767,,,
