INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DE TORRES AO CABO POLO_NIO ,,,,,,,,,,,,
,,2010,PROXIMIDADES DE TRAMANDAI_ ,,,,,1968,50000,,,
,,2101,PORTO DO RIO GRANDE ,,,,,2007,25000,,,
,,2110,PROXIMIDADES DO PORTO DO RIO GRANDE ,,,,,2007,50000,,,
,,2140,LAGOA DOS PATOS ,,,,,1968,271653,,,
,,2210,COSTA DO ALBARDA_O (CANAL DA VERGA) ,,,,,1964,50000,,,
2127,,23400,,,,,,,,,,
2128,,23500,,,,,,,,,,
2129,,23600,,,,,,,,,,
