INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
LAGOA DOS PATOS ,,,,,,,,,,,,
,,2102,DE S. JOSE_ DO NORTE AO CANAL DA SETIA ,,,,,1964,25052,,,
,,2103,DA BARRA DO CANAL S. GONC_ALO A_S PORTEIRAS ,,,,,1964,25097,,,
,,2104,CANAL SA_O GONC_ALO Р DA BARRA A PELOTAS ,,,,,1963,15000,,,
,,2104 plano 1,BARRA DO CANAL SA_O GONC_ALO ,,,,,,15000,,,
,,2104 plano 2,CANAL DE SA_O GONC_ALO Р DA FOZ A PELOTAS ,,,,,,15000,,,
,,2104 plano 3,PORTO DE PELOTAS,,,,,,6000,,,
,,2105,CANAL DA FEITORIA E PROXIMIDADES ,,,,,1964,25115,,,
,,2106,SACO DO RINCA_O E PROXIMIDADES ,,,,,1964,25085,,,
,,2107,BARRA DO RIO GUAI_BA,,,,,1964,24949,,,
,,2108,DE ITAPUA_ A_ PONTA DO ARADO VELHO ,,,,,1964,24985,,,
,,2109,DA PONTA GROSSA A PORTO ALEGRE ,,,,,1990,25036,,,
,,2111,DE ITAPUA_ A PORTO ALEGRE ,,,,,1966,50000,,,
,,2112,DO RIO GRANDE A FEITORIA ,,,,,1965,80000,,,
,,2113,DE PORTO ALEGRE AO TERMINAL SANTA CLARA ,,,,,1989,15000,,,
,,2140,LAGOA DOS PATOS ,,,,,1968,271653,,,
,,2140 plano A,ENSEADA DE TAPES (PLANO A) ,,,,,,100000,,,
,,2140 plano B,FUNDEADOURO DE ARAMBARE_ (PLANO B) ,,,,,,100000,,,
,,2140 plano C,FUNDEADOURO DE CRISTO_VA_O PEREIRA (PLANO C) ,,,,,,100000,,,
,,2140 plano D,FUNDEADOURO DE BOJURU (PLANO D) ,,,,,,100000,,,
,,2140 plano E,FUNDEADOURO DE S. LOURENC_O DO SUL (PLANO E) ,,,,,,100000,,,
