INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DA ILHA DE SANTANA A MACAU ,,,,,,,,,,,,
,,504,PORTO DE TUTO_IA E PROXIMIDADES ,,,,,1980,42000,,,
,,511,BARRA DOS RIOS TIMONHA E UBATUBA ,,,,,2005,18000,,,
,,511 plano 1,RIOS TIMONHA E UBATUBA (DA BARRA ATE_ CHAVAL) ,,,,,,50000,,,
,,515,PORTO DE LUI_S CORREIA,,,,,1992,25000,,,
,,515 plano 1,PORTO DE LUI_S CORREIA ,,,,,,15000,,,
,,601,PORTO DE CAMOCIM ,,,,,1983,15000,,,
,,701,PORTO DE MUCURIPE (FORTALEZA) ,,,,,2002,13000,,,
,,702,PORTO DE MACAU,,,,,1973,23000,,,
,,703,PORTO DE AREIA BRANCA,,,,,1974,25000,,,
,,703 plano 1,TERMINAL SALINEIRO DE AREIA BRANCA (PLANO DE AMARRAC_A_O DE NAVIOS) ,,,,,,5000,,,
,,704,PORTO DE GUAMARE_ ,,,,,2003,15000,,,
,,705,TERMINAL PORTUA_RIO DO PECE_M ,,,,,2002,15000,,,
,,710,PROXIMIDADES DO TERMINAL DO PECE_M E DO PORTO DE MUCURIPE ,,,,,2003,50000,,,
,,720,DE AREIA BRANCA A GUAMARE_ ,,,,,2003,100000,,,
2109,,21600,,,,,,,,,,
2110,,21700,,,,,,,,,,
2111,,21800,,,,,,,,,,
2112,,21900,,,,,,,,,,
