INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. â€“ Date NE)
,,,,,,,,,,,,
DE MACEIO_ A_ FOZ DO RIO DOCE ,,,,,,,,,,,,
,,1000,DE MACEIO_ AO RIO ITARIRI,,,,,1986,311492,,,
,,1001,PORTO DE BARRA DOS COQUEIROS ,,,,,1996,25000,,,
,,1002,BARRA DO RIO SA_O FRANCISCO DO NORTE ,,,,,1983,20000,,,
,,1002 plano 1,RIO SA_O FRANCISCO DO NORTE (DE PIAC_ABUC_U A PENEDO) ,,,,,,40000,,,
,,1003,BARRA DO RIO SERGIPE ,,,,,2008,25000,,,
,,1100,DO RIO ITARIRI A ILHE_US ,,,,,1979,308541,,,
,,1100 plano 1,FUNDEADOURO DO MORRO DE SA_O PAULO ,,,,,,50000,,,
,,1131,PORTO DE CAMAMU ,,,,,1960,30000,,,
,,1200,DO PORTO DE ILHE_US A_ PONTA CUMURUXATIBA ,,,,,1979,305090,,,
,,1201,PORTO DE ILHE_US ,,,,,2003,12500,,,
,,1205,BAI_AS CABRA_LIA E DE PORTO SEGURO ,,,,,2000,30000,,,
,,1210,PROXIMIDADES DO PORTO DE ILHE_US ,,,,,2003,50000,,,
,,1301,BARRA DE NOVA VIC_OSA ,,,,,1956,30000,,,
,,1302,PORTO DE NOVA VIC_OSA ,,,,,1999,12000,,,
,,1310,CANAL DOS ABROLHOS E PROXIMIDADES ,,,,,1970,100025,,,
,,1311,FUNDEADOUROS DE ABROLHOS,,,,,1961,10000,,,
,,1312,PORTO DE CARAVELAS E PROXIMIDADES ,,,,,2004,30000,,,
2116,,22300,,,,,,,,,,
2120,,22700,,,,,,,,,,
2121,,22800,,,,,,,,,,
